iter	RMSE
0	221.598877
1	209.4128153
2	194.4293266
3	189.9329127
4	186.9330869
5	181.2002877
6	178.3914019
7	166.6691509
8	163.7873304
9	161.9686987
10	161.3363086
11	158.4239463
12	156.2934955
13	154.9859161
14	150.9432669
15	149.8422089
16	147.9507241
17	147.3567573
18	147.2022308
19	146.0323988
20	144.2022733
21	143.1587659
22	142.5336912
23	142.251948
24	139.0230116
25	138.9320197
26	137.4584025
27	137.2438562
28	135.3988263
29	134.877131
30	134.2718868
31	132.6654625
32	131.6962057
33	131.6312387
34	131.5770689
35	129.8224811
36	128.6206182
37	128.2245102
38	126.4819964
39	125.7602889
40	125.6393467
41	124.7830824
42	124.6738208
43	124.5503676
44	123.3371078
45	123.3335553
46	122.959337
47	122.074374
48	122.0235063
49	121.8573494
50	121.8002753
51	121.3604827
52	121.0152712
53	120.05227
54	119.1419086
55	118.9222795
56	118.859132
57	118.820791
58	117.1825303
59	117.113912
60	116.847967
61	116.7316598
62	116.4095285
63	114.8601168
64	114.7687446
65	113.6235518
66	113.504013
67	112.792072
68	112.7398646
69	112.7271447
70	112.6536787
71	112.6266405
72	112.6006535
73	112.3103537
74	112.2701134
75	112.2645002
76	112.2278657
77	112.0008809
78	111.8921021
79	111.6534418
80	110.9544416
81	110.2200359
82	110.1376983
83	109.353761
84	109.3255824
85	108.8776014
86	108.2549998
87	108.1010639
88	108.0709871
89	107.4543477
90	107.3111034
91	107.1047817
92	107.0833215
93	107.0313889
94	106.8931288
95	106.8660619
96	106.8522081
97	106.8288531
98	106.0424045
99	105.9298624
100	105.8768296
101	105.7757668
102	105.6853313
103	105.64589
104	105.5294696
105	105.4435523
106	105.4136393
107	105.2537209
108	105.186825
109	104.9314956
110	104.8669518
111	104.854988
112	104.8430014
113	104.8328085
114	104.7543804
115	104.7103028
116	104.2145391
117	103.9353638
118	103.2107644
119	103.1768627
120	103.1256839
121	103.091108
122	102.4087858
123	102.3977094
124	102.3882585
125	102.3810955
126	101.9547909
127	101.9101767
128	101.8727331
129	100.0205501
130	100.0080407
131	99.97012237
132	99.8386257
133	99.82892801
134	99.82892533
135	99.80174307
136	99.77621846
137	99.77195917
138	99.76987875
139	99.71047351
140	99.7058625
141	99.35306264
142	99.31526879
143	99.31026872
144	99.27539443
145	99.15045087
146	98.92688415
147	98.76879382
148	98.71727414
149	97.6034068
150	97.52684835
151	97.38759196
152	97.34898722
153	97.29548848
154	97.04499498
155	96.7048982
156	96.57924565
157	96.55511118
158	96.47125296
159	96.45765268
160	96.44272944
161	96.407518
162	96.37437591
163	96.27147273
164	96.24135999
165	96.208065
166	96.17639051
167	96.12920401
168	95.83191163
169	95.82199429
170	95.79042293
171	95.78093056
172	95.65451076
173	95.30039208
174	95.25883944
175	95.10481806
176	95.08409208
177	95.04766345
178	95.02939704
179	94.3942254
180	94.37303638
181	94.06936817
182	94.06721906
183	93.86825334
184	93.30964443
185	92.70865672
186	92.30230651
187	92.19365196
188	91.87210412
189	91.8412441
190	91.81053614
191	91.60991352
192	91.51303279
193	91.48684219
194	91.47495894
195	91.42608176
196	91.40329538
197	91.16664538
198	91.15096248
199	91.09997037
