iter	Passed	Remaining
0	8	1638
1	16	1607
2	23	1527
3	30	1515
4	40	1563
5	48	1565
6	55	1524
7	63	1522
8	71	1508
9	79	1518
10	86	1486
11	93	1468
12	100	1448
13	108	1444
14	117	1449
15	124	1432
16	133	1436
17	141	1434
18	149	1426
19	156	1412
20	164	1405
21	172	1393
22	180	1386
23	188	1381
24	195	1370
25	203	1363
26	210	1347
27	217	1336
28	225	1327
29	232	1317
30	240	1312
31	247	1300
32	255	1295
33	264	1290
34	272	1284
35	280	1277
36	287	1267
37	294	1256
38	303	1251
39	310	1241
40	317	1232
41	326	1227
42	334	1222
43	342	1214
44	350	1206
45	358	1200
46	366	1192
47	373	1182
48	381	1176
49	390	1170
50	397	1161
51	404	1152
52	413	1146
53	421	1138
54	429	1131
55	436	1122
56	444	1116
57	452	1107
58	461	1102
59	468	1093
60	476	1086
61	484	1078
62	491	1068
63	500	1063
64	508	1056
65	518	1052
66	527	1047
67	537	1042
68	544	1033
69	554	1029
70	561	1020
71	570	1014
72	582	1013
73	591	1006
74	601	1001
75	612	998
76	621	993
77	630	985
78	638	977
79	646	969
80	652	959
81	661	952
82	669	943
83	678	937
84	686	928
85	695	921
86	704	914
87	712	906
88	719	897
89	726	888
90	736	881
91	743	873
92	752	866
93	760	857
94	769	850
95	779	844
96	787	836
97	796	828
98	804	820
99	812	812
100	820	804
101	829	796
102	838	789
103	846	781
104	854	772
105	862	764
106	872	757
107	881	750
108	891	743
109	898	734
110	908	728
111	918	721
112	925	712
113	934	704
114	943	697
115	952	689
116	961	682
117	969	673
118	977	665
119	986	657
120	995	649
121	1004	642
122	1012	633
123	1021	626
124	1031	618
125	1040	611
126	1048	602
127	1057	594
128	1066	586
129	1074	578
130	1086	572
131	1095	564
132	1104	556
133	1112	548
134	1120	539
135	1130	531
136	1137	523
137	1146	514
138	1153	506
139	1161	497
140	1170	489
141	1179	481
142	1186	473
143	1193	464
144	1201	455
145	1210	447
146	1217	438
147	1225	430
148	1232	421
149	1239	413
150	1246	404
151	1254	396
152	1262	387
153	1270	379
154	1277	370
155	1284	362
156	1291	353
157	1298	345
158	1307	337
159	1314	328
160	1322	320
161	1328	311
162	1336	303
163	1345	295
164	1352	286
165	1359	278
166	1366	269
167	1374	261
168	1381	253
169	1389	245
170	1397	237
171	1405	228
172	1412	220
173	1420	212
174	1428	204
175	1434	195
176	1442	187
177	1449	179
178	1456	170
179	1464	162
180	1472	154
181	1479	146
182	1488	138
183	1495	130
184	1503	121
185	1510	113
186	1517	105
187	1525	97
188	1534	89
189	1544	81
190	1554	73
191	1565	65
192	1574	57
193	1585	49
194	1593	40
195	1605	32
196	1612	24
197	1621	16
198	1628	8
199	1635	0
